lemma,compound,occurences,mean_kids,mean_kids_uniq,median_kids,median_kids_uniq,min_kids,min_kids_uniq,max_kids,max_kids_uniq,stdev_kids,stdev_kids_uniq,pstdev_kids,pstdev_kids_uniq
nihutama,,113,2.92,2.79,3.0,3.0,0,0,6,6,1.16,1.04,1.15,1.03
pärssima,,113,2.48,2.4,2.0,2.0,0,0,5,5,0.93,0.87,0.92,0.87
teavitama,,113,2.98,2.89,3.0,3.0,1,1,6,5,1.09,1.04,1.09,1.03
innustama,,112,2.26,2.2,2.0,2.0,0,0,5,5,1.1,1.04,1.09,1.03
jahmuma,,112,1.04,1.02,1.0,1.0,0,0,4,4,0.78,0.75,0.78,0.74
pressima,,112,1.96,1.88,2.0,2.0,0,0,6,5,1.52,1.42,1.51,1.41
surema,ära,112,1.46,1.36,1.0,1.0,0,0,4,3,0.95,0.78,0.94,0.78
varisema,,112,1.99,1.93,2.0,2.0,0,0,4,4,1.11,1.05,1.11,1.04
andma,järele,111,1.84,1.76,2.0,2.0,0,0,6,6,1.08,1.03,1.08,1.02
hakkama,peale,111,2.55,2.42,3.0,3.0,0,0,6,5,1.19,1.08,1.18,1.08
palvetama,,111,1.54,1.47,1.0,1.0,0,0,5,5,1.12,1.03,1.11,1.03
pühenduma,,111,1.82,1.77,2.0,2.0,0,0,5,5,1.34,1.29,1.33,1.28
solvama,,111,2.47,2.37,2.0,2.0,0,0,5,5,1.08,0.96,1.07,0.96
tühistama,,111,2.7,2.66,3.0,3.0,0,0,6,6,1.12,1.12,1.12,1.11
vaatama,üle,111,2.32,2.19,2.0,2.0,0,0,5,4,0.96,0.85,0.96,0.84
vaidlema,vastu,111,1.59,1.57,2.0,2.0,0,0,4,3,0.86,0.83,0.85,0.82
vallanduma,,111,2.13,1.98,2.0,2.0,0,0,5,4,0.95,0.82,0.95,0.82
õhkama,,111,1.72,1.67,2.0,2.0,0,0,5,5,0.96,0.86,0.95,0.85
alanema,,110,2.3,2.23,2.0,2.0,0,0,6,6,1.27,1.22,1.27,1.22
kukkuma,alla,110,2.47,2.25,2.0,2.0,0,0,7,6,1.6,1.37,1.59,1.36
külvama,,110,2.12,2.01,2.0,2.0,0,0,5,5,1.11,1.03,1.1,1.02
minema,läbi,110,1.97,1.89,2.0,2.0,0,0,5,4,0.91,0.82,0.91,0.81
tappima,,110,2.67,2.54,2.5,2.0,0,0,8,6,1.26,1.06,1.26,1.05
kehastama,,109,2.57,2.43,2.0,2.0,0,0,5,5,0.93,0.83,0.92,0.83
klappima,,109,2.13,1.89,2.0,2.0,0,0,5,5,1.19,0.94,1.19,0.93
maitsema,,109,2.24,2.05,2.0,2.0,0,0,6,6,1.27,1.15,1.26,1.14
nähvama,,109,1.52,1.48,1.0,1.0,0,0,5,4,0.81,0.71,0.81,0.71
röögatama,,109,1.42,1.39,1.0,1.0,0,0,4,3,0.85,0.81,0.85,0.8
soostuma,,109,2.05,1.98,2.0,2.0,0,0,5,5,1.23,1.14,1.22,1.13
sõdima,,109,2.28,2.19,2.0,2.0,0,0,5,4,1.06,0.97,1.06,0.96
tulema,järele,109,2.46,2.34,2.0,2.0,0,0,6,6,1.05,0.93,1.05,0.92
lavastama,,108,2.32,2.22,2.0,2.0,0,0,6,6,1.09,1.04,1.09,1.03
lobisema,,108,1.82,1.68,2.0,2.0,0,0,7,6,1.3,1.13,1.29,1.12
pagema,,108,2.16,2.09,2.0,2.0,0,0,5,5,1.23,1.14,1.23,1.13
puistama,,108,2.71,2.62,3.0,3.0,0,0,7,5,1.1,0.96,1.1,0.96
täheldama,,108,2.3,2.21,2.0,2.0,1,1,5,5,0.99,0.91,0.98,0.9
varustama,,108,2.93,2.82,3.0,3.0,0,0,5,5,0.97,0.93,0.97,0.92
väljastama,,108,3.14,2.91,3.0,3.0,0,0,6,6,1.27,1.1,1.27,1.09
alandama,,107,2.77,2.68,3.0,2.0,0,0,8,6,1.3,1.19,1.29,1.19
kerkima,esile,107,2.52,2.36,2.0,2.0,1,1,5,4,1.07,0.88,1.06,0.88
lahustuma,,107,1.73,1.65,2.0,2.0,0,0,5,4,1.26,1.16,1.26,1.15
sikutama,,107,2.55,2.44,2.0,2.0,0,0,8,5,1.31,1.15,1.31,1.15
sisendama,,107,2.63,2.57,3.0,3.0,0,0,5,5,1.02,1.02,1.02,1.01
võtma,üles,107,2.58,2.41,3.0,2.0,0,0,6,5,1.12,1.0,1.11,0.99
hõivama,,106,2.75,2.6,3.0,3.0,0,0,5,5,1.08,1.05,1.07,1.04
istuma,maha,106,1.56,1.46,1.0,1.0,0,0,5,5,1.16,1.07,1.15,1.07
lehvima,,106,2.25,2.14,2.0,2.0,0,0,5,4,1.01,0.88,1.01,0.87
pikendama,,106,2.88,2.78,3.0,3.0,1,1,6,6,1.24,1.17,1.23,1.17
võtma,üle,106,2.8,2.67,3.0,3.0,1,1,6,6,1.13,1.0,1.13,1.0
õnnitlema,,106,1.34,1.3,1.0,1.0,0,0,5,5,1.26,1.2,1.25,1.2
ümisema,,106,1.65,1.54,2.0,1.5,0,0,4,4,1.06,0.96,1.06,0.95
loopima,,105,2.87,2.79,3.0,3.0,0,0,7,6,1.14,1.07,1.14,1.07
vaatama,järele,105,2.07,2.02,2.0,2.0,0,0,6,6,1.12,1.07,1.11,1.07
õhutama,,105,2.26,2.18,2.0,2.0,0,0,6,6,1.1,1.04,1.1,1.04
ühtima,,105,2.32,2.26,2.0,2.0,0,0,5,5,0.99,0.94,0.98,0.94
garanteerima,,104,2.43,2.39,2.0,2.0,0,0,6,5,0.89,0.81,0.89,0.8
lahenema,,104,2.26,2.12,2.0,2.0,0,0,5,4,1.0,0.86,0.99,0.85
reisima,,104,2.27,2.09,2.0,2.0,0,0,6,5,1.28,1.15,1.27,1.14
süvendama,,104,2.43,2.36,2.0,2.0,1,1,5,5,0.91,0.84,0.91,0.83
treenima,,104,2.44,2.3,2.0,2.0,0,0,5,5,1.13,1.05,1.13,1.05
hõiskama,,103,1.59,1.52,1.0,1.0,0,0,5,5,1.11,1.03,1.1,1.02
jõllitama,,103,2.53,2.4,2.0,2.0,0,0,6,6,1.09,0.99,1.09,0.99
kaunistama,,103,2.49,2.37,2.0,2.0,0,0,5,5,0.88,0.74,0.88,0.74
kutsuma,üles,103,2.83,2.78,3.0,3.0,1,1,6,6,1.12,1.07,1.12,1.06
lugema,läbi,103,2.44,2.33,2.0,2.0,0,0,6,5,1.23,1.11,1.23,1.1
ununema,,103,1.74,1.63,2.0,2.0,0,0,5,4,1.1,1.0,1.1,1.0
vaatama,tagasi,103,1.65,1.55,2.0,2.0,0,0,4,4,1.1,1.02,1.09,1.01
vananema,,103,1.34,1.22,1.0,1.0,0,0,6,4,1.26,1.05,1.26,1.04
kukkuma,maha,102,1.77,1.69,2.0,1.0,0,0,6,5,1.22,1.15,1.21,1.15
kumama,,102,2.18,2.06,2.0,2.0,0,0,6,5,1.27,1.14,1.26,1.14
neelatama,,102,1.15,1.11,1.0,1.0,0,0,4,3,0.89,0.81,0.89,0.8
sõimama,,102,2.16,2.06,2.0,2.0,0,0,6,5,1.16,1.04,1.15,1.04
tõusma,esile,102,2.41,2.27,2.0,2.0,1,1,5,5,0.88,0.81,0.88,0.81
andma,ära,101,2.29,2.18,2.0,2.0,0,0,8,5,1.19,1.02,1.19,1.02
liitma,,101,2.34,2.23,2.0,2.0,0,0,6,5,1.27,1.17,1.26,1.17
võlgnema,,101,3.15,3.0,3.0,3.0,1,1,6,5,1.03,0.91,1.03,0.9
astuma,tagasi,100,2.12,2.05,2.0,2.0,0,0,5,5,0.99,0.97,0.98,0.96
ibima,,100,0.07,0.06,0.0,0.0,0,0,2,1,0.29,0.24,0.29,0.24
komistama,,100,1.83,1.71,2.0,2.0,0,0,5,4,1.09,0.97,1.09,0.96
kisendama,,99,1.47,1.41,1.0,1.0,0,0,4,4,1.05,1.0,1.05,1.0
minema,kaasa,99,2.14,2.1,2.0,2.0,0,0,5,5,1.02,0.95,1.02,0.95
rikkuma,ära,99,2.38,2.29,2.0,2.0,1,1,5,4,0.96,0.9,0.95,0.89
sirutama,välja,99,2.38,2.29,2.0,2.0,1,1,6,6,1.06,0.97,1.05,0.97
ööbima,,99,2.24,2.09,2.0,2.0,0,0,5,4,1.05,0.93,1.05,0.92
ajama,välja,98,2.99,2.88,3.0,3.0,1,1,6,6,1.07,0.98,1.06,0.97
hõlbustama,,98,2.34,2.26,2.0,2.0,1,1,6,5,0.94,0.8,0.94,0.8
jälitama,,98,2.54,2.42,2.0,2.0,0,0,5,4,1.01,0.93,1.0,0.92
lõhustuma,,98,2.43,2.3,3.0,3.0,0,0,6,6,1.42,1.31,1.41,1.3
möllama,,98,2.17,2.02,2.0,2.0,0,0,5,4,1.1,0.92,1.1,0.91
nuusutama,,98,1.66,1.58,1.5,1.0,0,0,5,5,1.22,1.11,1.21,1.11
põlgama,,98,2.09,2.01,2.0,2.0,0,0,5,4,0.99,0.89,0.98,0.89
tärkama,,98,2.16,2.04,2.0,2.0,0,0,4,4,1.0,0.91,1.0,0.9
hämmastama,,97,2.51,2.38,3.0,2.0,1,1,5,5,0.98,0.91,0.98,0.9
jaotuma,,97,2.56,2.39,2.0,2.0,1,1,6,5,1.06,0.9,1.05,0.89
kompenseerima,,97,2.62,2.54,3.0,2.0,1,1,5,5,0.83,0.78,0.83,0.77
lükkama,edasi,97,2.51,2.35,2.0,2.0,0,0,6,5,1.21,1.08,1.2,1.07
panema,maha,97,2.34,2.18,2.0,2.0,0,0,6,5,1.25,1.12,1.24,1.11
põrkuma,,97,2.53,2.44,3.0,2.0,0,0,5,5,1.04,0.98,1.04,0.97
rääkima,ära,97,2.58,2.44,2.0,2.0,0,0,6,5,1.15,1.07,1.15,1.06
sõnastama,,97,2.77,2.62,3.0,2.0,0,0,6,5,1.1,0.98,1.1,0.98
viskama,välja,97,2.63,2.52,3.0,2.0,0,0,7,5,1.25,1.15,1.25,1.14
erutama,,96,2.33,2.25,2.0,2.0,0,0,4,4,1.01,0.96,1.01,0.96
hakkama,pihta,96,2.12,1.97,2.0,2.0,0,0,4,4,1.14,1.07,1.13,1.07
hirmutama,,96,2.28,2.16,2.0,2.0,0,0,6,5,1.17,1.09,1.16,1.08
käima,kaasas,96,2.62,2.52,2.5,2.0,1,1,6,4,0.82,0.7,0.82,0.69
lahvatama,,96,2.27,2.22,2.0,2.0,0,0,5,4,1.02,0.96,1.02,0.96
lülitama,välja,96,2.1,2.01,2.0,2.0,0,0,5,4,1.07,0.96,1.07,0.95
püüdma,kinni,96,2.33,2.23,2.0,2.0,0,0,5,5,1.04,0.99,1.04,0.98
õiendama,,96,2.11,2.04,2.0,2.0,0,0,6,5,1.12,1.04,1.12,1.03
elama,edasi,95,2.12,1.91,2.0,2.0,0,0,5,4,1.19,0.99,1.19,0.98
jääma,ette,95,2.27,2.12,2.0,2.0,0,0,6,4,1.12,0.94,1.11,0.94
riputama,,95,2.75,2.6,3.0,3.0,0,0,6,6,1.04,1.07,1.04,1.06
tegema,välja,95,2.32,2.21,2.0,2.0,0,0,6,5,1.26,1.15,1.25,1.14
jaotama,,94,3.32,3.06,3.0,3.0,1,1,6,6,1.0,0.98,0.99,0.98
kiitma,heaks,94,2.87,2.7,3.0,3.0,0,0,5,5,1.0,0.88,0.99,0.87
raiskama,,94,2.48,2.36,2.0,2.0,0,0,6,6,1.35,1.24,1.34,1.24
sõitma,mööda,94,2.14,2.04,2.0,2.0,0,0,6,6,1.23,1.18,1.23,1.18
sõitma,ära,94,1.55,1.5,1.0,1.0,0,0,5,4,1.01,0.9,1.01,0.9
viima,välja,94,2.95,2.76,3.0,3.0,1,1,5,5,1.11,1.05,1.1,1.05
vältama,,94,1.8,1.79,2.0,2.0,1,1,4,4,0.86,0.85,0.86,0.85
ajama,üles,93,2.55,2.46,2.0,2.0,1,1,5,5,1.02,0.92,1.01,0.91
funktsioneerima,,93,2.31,2.17,2.0,2.0,0,0,6,5,1.2,1.04,1.19,1.03
katsetama,,93,2.46,2.33,2.0,2.0,0,0,5,5,1.18,1.04,1.17,1.03
kohisema,,93,1.71,1.65,2.0,2.0,0,0,4,3,0.85,0.78,0.85,0.77
kummutama,,93,2.25,2.2,2.0,2.0,0,0,4,4,0.92,0.88,0.91,0.87
määrama,ära,93,2.46,2.39,2.0,2.0,1,1,5,5,0.83,0.77,0.82,0.76
prognoosima,,93,2.73,2.71,3.0,3.0,0,0,5,5,1.14,1.11,1.14,1.1
saama,üle,93,2.26,2.12,2.0,2.0,0,0,7,5,1.29,1.13,1.29,1.12
säästma,,93,2.59,2.49,3.0,2.0,0,0,6,6,1.13,1.04,1.13,1.03
tavatsema,,93,2.55,2.49,2.0,2.0,1,1,5,5,0.94,0.92,0.93,0.91
varitsema,,93,2.55,2.41,2.0,2.0,0,0,6,5,1.12,0.98,1.11,0.98
jääma,kõrvale,92,2.28,2.18,2.0,2.0,0,0,5,4,1.13,1.0,1.13,1.0
kallinema,,92,2.47,2.39,2.0,2.0,0,0,5,5,1.12,1.06,1.12,1.05
kohkuma,,92,1.17,1.15,1.0,1.0,0,0,4,4,0.85,0.81,0.84,0.81
pritsima,,92,2.42,2.35,2.0,2.0,1,1,6,4,1.04,0.97,1.03,0.96
silmama,,92,2.58,2.39,3.0,2.5,0,0,6,5,1.44,1.24,1.43,1.23
tundma,kaasa,92,1.89,1.8,2.0,2.0,0,0,5,4,1.17,1.06,1.17,1.06
turtsatama,,92,1.35,1.34,1.0,1.0,0,0,3,3,0.79,0.77,0.79,0.77
vaatama,läbi,92,2.34,2.23,2.0,2.0,0,0,5,5,1.09,1.05,1.09,1.04
ajama,taga,91,2.74,2.64,3.0,3.0,1,1,6,6,1.01,0.96,1.0,0.96
hoidma,kokku,91,2.25,2.15,2.0,2.0,0,0,6,6,1.24,1.2,1.24,1.19
kastma,,91,2.26,2.13,2.0,2.0,0,0,5,4,1.12,1.01,1.12,1.01
keema,,91,1.93,1.78,2.0,2.0,0,0,5,4,1.0,0.85,0.99,0.85
kütma,,91,2.67,2.52,3.0,2.0,0,0,8,6,1.29,1.13,1.28,1.12
liikuma,ringi,91,2.42,2.26,2.0,2.0,0,0,5,5,1.07,0.89,1.06,0.89
minema,sisse,91,1.68,1.64,2.0,2.0,0,0,5,5,1.06,0.99,1.06,0.99
pildistama,,91,1.92,1.85,2.0,2.0,0,0,5,5,1.22,1.14,1.22,1.14
põimuma,,91,2.05,2.0,2.0,2.0,0,0,4,4,0.97,0.92,0.96,0.91
sõitma,tagasi,91,2.09,2.01,2.0,2.0,0,0,6,5,1.13,1.07,1.13,1.06
tasuma,ära,91,2.77,2.67,3.0,3.0,0,0,5,5,1.04,0.99,1.04,0.98
teadvustama,,91,2.82,2.68,3.0,3.0,1,1,6,5,1.13,1.0,1.13,0.99
tõstatama,,91,2.98,2.85,3.0,3.0,0,0,6,5,1.13,1.01,1.12,1.0
vaatama,pealt,91,2.26,2.04,2.0,2.0,0,0,6,4,1.16,0.87,1.16,0.86
ajendama,,90,2.56,2.53,2.5,2.5,1,1,4,4,0.79,0.77,0.79,0.76
elama,kaasa,90,2.71,2.58,3.0,3.0,0,0,6,5,1.25,1.1,1.24,1.1
käsitama,,90,2.72,2.62,3.0,2.5,1,1,5,5,0.91,0.87,0.91,0.86
pettuma,,90,1.02,0.87,1.0,1.0,0,0,4,3,1.13,0.95,1.13,0.95
saama,välja,90,2.17,2.06,2.0,2.0,0,0,5,5,1.13,1.05,1.13,1.05
abistama,,89,2.51,2.4,2.0,2.0,0,0,6,6,1.06,0.96,1.05,0.96
kauplema,,89,2.21,2.12,2.0,2.0,0,0,7,6,1.3,1.2,1.29,1.2
kiirgama,,89,2.22,2.17,2.0,2.0,0,0,4,4,0.85,0.77,0.84,0.77
küünitama,,89,2.31,2.25,2.0,2.0,0,0,6,5,1.03,0.93,1.02,0.93
rakenduma,,89,2.35,2.21,2.0,2.0,0,0,5,5,0.99,0.86,0.98,0.85
vakatama,,89,1.18,1.18,1.0,1.0,0,0,4,4,0.76,0.76,0.76,0.76
värvima,,89,2.67,2.57,3.0,3.0,0,0,6,5,1.18,1.06,1.17,1.06
ütlema,välja,89,2.58,2.43,3.0,2.0,0,0,6,4,1.14,1.03,1.13,1.03
ahmima,,88,2.16,2.09,2.0,2.0,0,0,7,6,1.25,1.16,1.24,1.15
lipsama,,88,2.55,2.43,2.0,2.0,1,1,5,5,1.06,0.94,1.05,0.94
minema,alla,88,1.82,1.74,2.0,2.0,0,0,7,5,1.34,1.19,1.34,1.18
plaksutama,,88,1.82,1.77,2.0,2.0,0,0,4,4,1.18,1.13,1.17,1.13
ronima,välja,88,2.08,2.05,2.0,2.0,0,0,4,4,0.9,0.88,0.89,0.88
saama,kätte,88,1.99,1.93,2.0,2.0,0,0,5,4,0.95,0.87,0.95,0.86
sisistama,,88,1.4,1.36,1.0,1.0,0,0,3,3,0.82,0.78,0.82,0.77
tassima,,88,2.7,2.57,3.0,2.0,0,0,5,5,1.23,1.21,1.23,1.2
ehtima,,87,2.39,2.31,2.0,2.0,0,0,5,4,0.84,0.72,0.84,0.72
hingeldama,,87,1.32,1.28,1.0,1.0,0,0,4,4,1.05,1.0,1.04,0.99
kadestama,,87,2.37,2.25,2.0,2.0,0,0,5,5,1.12,1.04,1.12,1.03
kaevama,,87,2.53,2.41,2.0,2.0,0,0,6,5,1.27,1.15,1.26,1.14
külmuma,,87,1.11,1.05,1.0,1.0,0,0,5,4,1.27,1.13,1.26,1.12
määrima,,87,3.02,2.94,3.0,3.0,0,0,7,6,1.4,1.37,1.39,1.36
panema,tagasi,87,2.16,2.09,2.0,2.0,0,0,5,4,1.03,1.02,1.03,1.01
sügama,,87,2.21,2.17,2.0,2.0,1,1,5,5,0.92,0.92,0.91,0.91
võimendama,,87,2.41,2.3,2.0,2.0,1,1,4,4,0.83,0.76,0.82,0.76
elavnema,,86,1.83,1.67,2.0,2.0,0,0,6,6,1.14,0.99,1.13,0.98
haihtuma,,86,1.85,1.78,2.0,2.0,0,0,4,4,1.01,0.96,1.01,0.96
imbuma,,86,2.67,2.49,3.0,2.0,1,1,5,5,1.01,0.85,1.01,0.85
kõnetama,,86,2.45,2.38,2.0,2.0,0,0,6,5,1.09,1.04,1.09,1.04
lehitsema,,86,2.13,2.01,2.0,2.0,0,0,6,5,1.27,1.14,1.26,1.14
minema,tarvis,86,2.48,2.35,2.0,2.0,1,1,4,4,0.76,0.7,0.76,0.69
protesteerima,,86,2.2,2.15,2.0,2.0,0,0,5,5,1.14,1.08,1.13,1.07
sõitma,otsa,86,3.29,2.95,3.0,3.0,1,1,8,6,1.72,1.3,1.71,1.29
trügima,,86,2.52,2.4,2.0,2.0,0,0,5,5,1.1,0.96,1.1,0.96
üllatuma,,86,0.87,0.79,1.0,1.0,0,0,3,3,1.02,0.93,1.01,0.93
kilkama,,85,1.51,1.48,1.0,1.0,0,0,5,5,0.98,0.93,0.98,0.93
korjama,kokku,85,2.24,2.15,2.0,2.0,0,0,5,5,1.03,0.99,1.02,0.99
langema,välja,85,2.34,2.24,2.0,2.0,0,0,5,5,1.04,1.0,1.04,0.99
minema,üles,85,2.01,1.99,2.0,2.0,0,0,6,6,1.12,1.12,1.11,1.11
palkama,,85,2.46,2.38,2.0,2.0,0,0,6,5,1.2,1.11,1.19,1.11
roomama,,85,2.4,2.27,2.0,2.0,0,0,5,5,1.15,1.04,1.14,1.03
ütlema,ära,85,2.46,2.38,3.0,3.0,0,0,5,4,1.08,0.96,1.07,0.96
allkirjastama,,84,3.07,2.89,3.0,3.0,1,1,7,6,1.13,0.99,1.12,0.99
andma,juurde,84,3.14,3.06,3.0,3.0,0,0,6,6,1.05,1.01,1.05,1.0
andma,tagasi,84,2.61,2.49,2.0,2.0,1,1,6,6,1.15,1.06,1.14,1.05
hargnema,,84,2.07,1.99,2.0,2.0,0,0,4,4,0.94,0.87,0.94,0.87
kuivatama,,84,2.25,2.23,2.0,2.0,0,0,5,5,1.04,1.02,1.03,1.02
kätkema,,84,2.99,2.88,3.0,3.0,2,2,5,5,0.8,0.77,0.79,0.76
lonkima,,84,2.31,2.26,2.0,2.0,0,0,5,5,1.13,1.08,1.12,1.07
noomima,,84,2.02,1.93,2.0,2.0,0,0,5,5,1.13,1.02,1.12,1.01
reklaamima,,84,2.63,2.51,2.0,2.0,0,0,7,7,1.32,1.26,1.31,1.25
soojendama,,84,2.32,2.24,2.0,2.0,0,0,7,6,1.27,1.18,1.26,1.17
tegema,läbi,84,2.42,2.32,2.0,2.0,0,0,5,5,1.18,1.13,1.18,1.13
tiksuma,,84,2.0,1.89,2.0,2.0,0,0,5,4,1.1,0.99,1.09,0.99
unustama,ära,84,2.04,1.92,2.0,2.0,0,0,5,4,1.18,1.08,1.17,1.07
varjutama,,84,2.4,2.36,2.0,2.0,0,0,5,4,0.92,0.86,0.91,0.85
võtma,tagasi,84,2.77,2.67,3.0,3.0,0,0,6,6,1.15,1.11,1.15,1.11
kargama,püsti,83,1.48,1.47,1.0,1.0,0,0,5,5,0.97,0.94,0.96,0.94
laiuma,,83,2.24,2.17,2.0,2.0,0,0,4,4,0.85,0.79,0.84,0.79
otsima,välja,83,2.25,2.2,2.0,2.0,1,1,6,5,1.02,0.95,1.02,0.94
torisema,,83,1.6,1.53,1.0,1.0,0,0,5,4,0.94,0.83,0.93,0.83
hingama,sisse,82,1.59,1.49,2.0,1.0,0,0,4,3,0.94,0.85,0.94,0.84
hulkuma,,82,2.23,2.11,2.0,2.0,0,0,6,5,1.03,0.93,1.03,0.92
jooma,ära,82,2.44,2.2,2.0,2.0,0,0,6,5,1.33,1.06,1.33,1.05
kirjutama,üles,82,2.13,2.07,2.0,2.0,0,0,5,5,1.07,1.04,1.07,1.03
leiutama,,82,2.32,2.24,2.0,2.0,0,0,5,5,1.09,1.05,1.08,1.04
mõtlema,järele,82,1.67,1.63,2.0,2.0,0,0,4,4,0.85,0.84,0.84,0.83
poegima,,82,1.5,1.46,1.0,1.0,0,0,4,4,0.79,0.74,0.78,0.74
saama,juurde,82,2.78,2.62,3.0,3.0,0,0,6,5,1.07,0.96,1.06,0.96
sümboliseerima,,82,2.48,2.45,2.0,2.0,1,1,4,4,0.77,0.74,0.77,0.74
kogelema,,81,1.3,1.27,1.0,1.0,0,0,3,3,0.7,0.67,0.69,0.67
omistama,,81,3.09,3.02,3.0,3.0,1,1,6,5,1.09,1.02,1.08,1.02
tõmbama,lahti,81,2.16,1.98,2.0,2.0,0,0,5,4,1.09,1.0,1.08,0.99
urisema,,81,1.33,1.23,1.0,1.0,0,0,4,4,0.91,0.76,0.9,0.76
vormistama,,81,2.89,2.77,3.0,3.0,1,1,8,8,1.27,1.23,1.27,1.22
ammutama,,80,3.0,2.89,3.0,3.0,0,0,5,5,1.04,0.99,1.04,0.99
kohanema,,80,2.45,2.29,3.0,2.0,0,0,5,5,1.07,0.98,1.06,0.98
konkureerima,,80,2.34,2.26,2.0,2.0,0,0,7,6,1.11,1.02,1.11,1.01
koristama,,80,1.99,1.91,2.0,2.0,0,0,5,5,1.21,1.14,1.2,1.13
lööma,maha,80,2.11,2.0,2.0,2.0,0,0,5,5,0.98,0.91,0.97,0.91
lööma,välja,80,2.85,2.66,3.0,3.0,1,1,10,9,1.26,1.12,1.26,1.12
noppima,,80,2.85,2.75,3.0,3.0,1,1,5,5,1.17,1.1,1.16,1.09
olema,koht,80,1.58,1.55,2.0,2.0,0,0,4,4,0.81,0.81,0.8,0.8
ostma,ära,80,2.51,2.42,2.0,2.0,0,0,5,5,1.07,1.06,1.06,1.06
talitama,,80,2.42,2.14,2.0,2.0,0,0,6,4,1.19,0.87,1.18,0.86
vaatama,üles,80,1.4,1.34,1.0,1.0,0,0,4,4,1.01,0.91,1.01,0.91
vaevlema,,80,2.29,2.15,2.0,2.0,0,0,5,5,1.14,1.01,1.13,1.0
vahetama,välja,80,2.52,2.48,2.0,2.0,0,0,5,5,0.99,0.97,0.99,0.96
vigastama,,80,2.5,2.42,2.0,2.0,0,0,6,5,1.24,1.14,1.23,1.14
võtma,sisse,80,2.41,2.35,2.0,2.0,0,0,6,6,1.19,1.11,1.18,1.11
kinnistuma,,79,1.85,1.75,2.0,2.0,0,0,5,4,1.29,1.13,1.28,1.12
konutama,,79,2.67,2.54,3.0,3.0,0,0,5,5,1.02,0.93,1.02,0.93
kõndima,ringi,79,2.04,1.86,2.0,2.0,0,0,5,4,1.16,1.01,1.15,1.0
köhatama,,79,1.53,1.44,1.0,1.0,0,0,4,4,0.93,0.84,0.93,0.84
panema,ära,79,2.1,1.91,2.0,2.0,0,0,6,5,1.18,0.95,1.18,0.94
pihtima,,79,1.96,1.92,2.0,2.0,0,0,5,5,1.1,1.06,1.1,1.05
varisema,kokku,79,1.9,1.82,2.0,2.0,0,0,5,3,0.96,0.84,0.95,0.84
üürima,,79,3.06,2.92,3.0,3.0,0,0,6,6,1.19,1.11,1.18,1.1
kandma,ette,78,2.51,2.33,2.0,2.0,0,0,6,5,1.41,1.27,1.4,1.26
klammerduma,,78,2.28,2.22,2.0,2.0,0,0,6,6,1.15,1.09,1.14,1.08
kuulama,ära,78,2.29,2.17,2.0,2.0,0,0,5,5,0.99,0.92,0.99,0.91
küsitlema,,78,2.42,2.32,2.0,2.0,0,0,7,5,1.29,1.2,1.29,1.19
lihtsustama,,78,2.32,2.26,2.0,2.0,0,0,5,5,0.93,0.86,0.93,0.85
sõitma,edasi,78,1.6,1.56,2.0,2.0,0,0,4,4,1.13,1.08,1.12,1.07
veeretama,,78,3.12,3.0,3.0,3.0,0,0,6,5,1.06,0.95,1.05,0.95
evima,,77,2.68,2.64,3.0,3.0,1,1,5,5,0.87,0.86,0.86,0.85
haukuma,,77,1.57,1.48,2.0,2.0,0,0,5,3,0.95,0.8,0.95,0.8
hoidma,tagasi,77,2.39,2.27,2.0,2.0,1,1,5,4,0.96,0.85,0.96,0.85
kinnituma,,77,2.38,2.21,2.0,2.0,0,0,7,6,1.43,1.22,1.42,1.21
küpsetama,,77,2.12,2.04,2.0,2.0,0,0,5,5,1.16,1.08,1.15,1.07
mahtuma,ära,77,2.45,2.21,2.0,2.0,1,1,6,6,1.11,0.95,1.1,0.94
neelama,alla,77,1.74,1.68,2.0,2.0,0,0,5,5,1.09,1.03,1.09,1.02
pesitsema,,77,2.52,2.3,2.0,2.0,0,0,5,5,1.24,1.06,1.23,1.06
rabelema,,77,1.82,1.74,2.0,2.0,0,0,5,5,1.18,1.11,1.17,1.1
embama,,76,2.12,1.99,2.0,2.0,0,0,5,4,0.97,0.84,0.96,0.83
hakkama,vastu,76,1.96,1.78,2.0,2.0,0,0,6,6,1.23,1.08,1.22,1.07
hirmuma,,76,0.34,0.33,0.0,0.0,0,0,3,3,0.6,0.57,0.6,0.57
koorima,,76,2.08,2.04,2.0,2.0,0,0,5,5,1.47,1.44,1.46,1.43
kõigutama,,76,2.38,2.21,2.0,2.0,1,1,5,4,1.06,0.88,1.05,0.88
kõrvaldama,,76,2.79,2.62,3.0,2.5,0,0,7,6,1.32,1.05,1.31,1.04
küpsema,,76,1.66,1.55,1.5,1.5,0,0,5,4,1.42,1.28,1.41,1.27
lippama,,76,2.21,2.16,2.0,2.0,0,0,4,4,1.09,1.03,1.08,1.03
nurisema,,76,2.07,1.99,2.0,2.0,0,0,4,4,1.05,0.99,1.04,0.98
tihenema,,76,1.76,1.75,2.0,2.0,0,0,5,5,1.22,1.2,1.21,1.19
toituma,,76,2.0,1.89,2.0,2.0,0,0,4,4,0.88,0.79,0.87,0.79
viigistama,,76,2.25,2.22,2.0,2.0,0,0,7,7,1.43,1.4,1.42,1.39
ergutama,,75,2.29,2.2,2.0,2.0,0,0,6,4,1.08,0.96,1.07,0.95
