lemma,compound,occurences,mean_kids,mean_kids_uniq,median_kids,median_kids_uniq,min_kids,min_kids_uniq,max_kids,max_kids_uniq,stdev_kids,stdev_kids_uniq,pstdev_kids,pstdev_kids_uniq
laskma,,2827,2.44,2.36,2.0,2.0,0,0,8,8,1.1,1.02,1.1,1.02
juhtuma,,2826,2.19,2.0,2.0,2.0,0,0,9,7,1.11,0.95,1.11,0.95
soovima,,2816,2.15,2.1,2.0,2.0,0,0,6,6,0.97,0.92,0.97,0.92
jätma,,2761,2.88,2.73,3.0,3.0,0,0,7,6,1.13,1.03,1.13,1.03
meeldima,,2698,2.16,2.04,2.0,2.0,0,0,7,6,1.03,0.9,1.03,0.9
sõitma,,2695,2.63,2.49,3.0,2.0,0,0,10,7,1.27,1.16,1.27,1.16
moodustama,,2682,2.7,2.59,3.0,2.0,0,0,7,7,0.91,0.85,0.91,0.85
paistma,,2663,2.07,1.97,2.0,2.0,0,0,7,7,1.25,1.18,1.25,1.18
kasvama,,2652,2.36,2.25,2.0,2.0,0,0,8,7,1.15,1.05,1.15,1.05
sõltuma,,2640,2.4,2.33,2.0,2.0,0,0,7,5,0.8,0.72,0.8,0.72
paluma,,2548,1.73,1.68,2.0,2.0,0,0,7,7,1.29,1.23,1.29,1.23
mängima,,2515,2.47,2.35,2.0,2.0,0,0,7,6,1.09,1.0,1.09,1.0
kaduma,,2511,1.85,1.75,2.0,2.0,0,0,7,5,1.18,1.07,1.18,1.07
maksma,,2482,2.72,2.59,3.0,2.0,0,0,8,7,1.17,1.09,1.17,1.09
uskuma,,2430,1.97,1.9,2.0,2.0,0,0,6,5,0.95,0.85,0.95,0.85
lausuma,,2343,1.49,1.45,1.0,1.0,0,0,6,5,0.79,0.74,0.79,0.74
alustama,,2330,2.63,2.52,3.0,3.0,0,0,7,7,1.2,1.12,1.2,1.12
märkima,,2315,1.8,1.76,2.0,2.0,0,0,7,6,0.92,0.86,0.92,0.86
oskama,,2307,2.22,2.14,2.0,2.0,0,0,6,5,0.98,0.88,0.98,0.88
lootma,,2306,2.01,1.96,2.0,2.0,0,0,9,6,0.96,0.89,0.96,0.89
surema,,2278,1.58,1.5,2.0,1.0,0,0,7,6,1.3,1.22,1.3,1.22
lugema,,2244,2.2,2.1,2.0,2.0,0,0,8,7,1.18,1.09,1.18,1.09
mõjutama,,2227,2.66,2.54,3.0,3.0,0,0,7,6,0.95,0.84,0.95,0.83
kandma,,2202,2.71,2.6,3.0,3.0,0,0,7,6,1.02,0.94,1.02,0.93
astuma,,2191,2.54,2.44,2.0,2.0,0,0,7,6,1.15,1.06,1.15,1.06
sisaldama,,2168,2.48,2.4,2.0,2.0,0,0,6,6,0.84,0.78,0.84,0.78
tunnistama,,2165,2.14,2.08,2.0,2.0,0,0,7,6,1.1,1.02,1.1,1.02
väitma,,2108,2.15,2.11,2.0,2.0,0,0,6,5,0.86,0.81,0.86,0.81
saatma,,2102,3.15,2.99,3.0,3.0,0,0,8,8,1.19,1.11,1.19,1.11
esitama,,2092,2.97,2.84,3.0,3.0,0,0,8,7,1.16,1.07,1.16,1.07
meenutama,,2071,2.24,2.17,2.0,2.0,0,0,8,6,1.11,1.02,1.11,1.02
ajama,,2055,2.82,2.64,3.0,3.0,0,0,8,7,1.27,1.14,1.27,1.14
lõpetama,,2055,2.4,2.3,2.0,2.0,0,0,6,6,1.12,1.05,1.12,1.05
tekitama,,2036,2.7,2.61,3.0,3.0,0,0,7,6,1.0,0.92,1.0,0.92
sündima,,2032,2.04,1.91,2.0,2.0,0,0,8,6,1.06,0.9,1.06,0.9
sattuma,,2021,2.71,2.57,3.0,3.0,0,0,8,7,1.16,1.05,1.16,1.05
leiduma,,2007,2.39,2.23,2.0,2.0,0,0,7,5,0.95,0.81,0.95,0.8
võitma,,1998,2.54,2.39,2.0,2.0,0,0,8,6,1.26,1.14,1.26,1.13
jätkama,,1946,2.14,2.07,2.0,2.0,0,0,7,6,1.17,1.09,1.17,1.09
looma,,1939,2.65,2.54,3.0,3.0,0,0,8,6,1.17,1.09,1.17,1.09
mäletama,,1939,2.03,1.9,2.0,2.0,0,0,7,6,1.16,1.01,1.16,1.01
kartma,,1934,1.98,1.91,2.0,2.0,0,0,6,5,0.92,0.83,0.92,0.83
langema,,1933,2.47,2.35,2.0,2.0,0,0,7,6,1.17,1.06,1.17,1.06
otsima,,1919,2.55,2.46,2.0,2.0,0,0,9,7,1.17,1.08,1.17,1.08
